Food_Name,PC1,PC2,cluster
"Whipped topping, sugar free",0.34934284634134133,-3.9877410941491442,1
"Sour cream, regular",1.1776503556222704,-3.880116878336952,5
"Sour cream, light",-0.023780318545185974,-3.0650655996628844,1
"Sour cream, fat free",-2.8830147337067373,-0.002105905713338351,1
"Sour cream, imitation",1.8094158993829323,-6.966980894328545,2
"Dip, NFS",4.815454888674598,-4.454672098938005,6
"Chipotle dip, regular",4.606464497113014,-4.5798372613533616,6
"Chipotle dip, light",-0.09430347080665887,-2.30724016215656,1
"Onion dip, regular",3.036486016029232,-3.7075365850684787,5
"Onion dip, light",-0.6369760278977682,-1.9367280589696154,1
"Ranch dip, regular",4.815454888674598,-4.454672098938005,6
"Ranch dip, light",0.10216750852846,-2.18562651960757,1
"Spinach dip, regular",3.088985032936112,-3.477405904739308,5
"Spinach dip, light",-0.5792808665893404,-1.7058638314371508,1
"Vegetable dip, regular",4.718114981451193,-4.488638900128112,6
"Vegetable dip, light",0.020108674484354265,-2.208685821568382,1
"Ice cream, NFS",0.77202163915529,-2.9208289309555746,1
"Ice cream, vanilla",0.6569164382202377,-3.0189187346657747,1
"Ice cream, vanilla, with additional ingredients",0.9432380458177559,-2.777421798386709,0
"Ice cream, chocolate",0.9852326961666523,-2.661041980316529,0
"Ice cream, chocolate, with additional ingredients",1.2198404516781873,-2.471991870440781,0
"Ice cream, soft serve, vanilla",-0.9162759508377456,-1.112218368487175,1
"Ice cream, soft serve, chocolate",-0.48418199584141747,-1.7471260784749427,1
"Gelato, vanilla",2.036549511124328,-4.437163926137853,2
"Gelato, chocolate",2.6294791325054474,-4.413905487672769,2
"Ice cream bar, vanilla",3.2783845608156814,-5.306269049917152,2
"Ice cream bar, vanilla, chocolate coated",3.3590340091476474,-5.077467462577401,2
Ice cream candy bar,3.2416086271110203,-4.842914269472806,2
"Ice cream bar, chocolate",3.5059040825367815,-4.848572633402173,2
"Ice cream sandwich, vanilla",1.1118015829627415,-2.2109923806355973,0
"Ice cream sandwich, chocolate",1.3554081157153224,-1.9430538894225506,0
Ice cream cookie sandwich,1.3294796105190527,-1.7789248036045804,0
"Ice cream cone, scooped, vanilla",0.6695768811579019,-2.791942879992647,1
"Ice cream cone, scooped, vanilla, waffle cone",0.6619086141179922,-2.6716709565004355,1
"Ice cream cone, NFS",0.777480035971272,-2.7008819409902713,0
"Ice cream cone, scooped, chocolate",0.989732451971451,-2.4428329012313443,0
"Ice cream cone, scooped, chocolate, waffle cone",0.9660813783631431,-2.3401945152722043,0
"Ice cream cone, soft serve, vanilla",-0.8422038171832935,-0.959245544983183,1
"Ice cream cone, soft serve, chocolate",-0.4247788250229486,-1.5687216557956347,1
"Ice cream cone, soft serve, vanilla, waffle cone",-0.8206693600798051,-0.876887085989563,1
"Ice cream cone, soft serve, chocolate, waffle cone",-0.4118866922836153,-1.4713997827140957,1
"Ice cream cone, vanilla, prepackaged",3.0130949047668714,-3.6535885244023407,0
"Ice cream cone, chocolate, prepackaged",3.0953528238678736,-3.5513557348717883,0
"Ice cream soda, flavors other than chocolate",-2.6393737669626027,-1.2218559115378296,1
"Ice cream soda, chocolate",-2.556191517707682,-1.1285137343757097,1
"Ice cream sundae, NFS",0.7481092554676292,-2.596489379580351,0
"Ice cream sundae, fruit topping",0.0911402683276376,-2.530221122023779,1
Banana split,-0.6414064390224039,-1.6542665234244383,1
"Ice cream sundae, hot fudge topping",0.7481092554676292,-2.596489379580351,0
"Ice cream sundae, caramel topping",0.10539626231680058,-2.5638444371864053,1
"Ice cream, fried",1.3791504899996605,-2.4100762987374633,0
"Light ice cream, NFS",-0.8787159029184548,-1.4571639013479152,1
"Light ice cream, vanilla",-0.8787159029184548,-1.4571639013479152,1
"Light ice cream, chocolate",-0.7443077849044235,-1.5968186934726687,1
"Soft serve, blended with candy or cookies, from fast food",-1.0097330851816464,-1.1030190473586887,1
"Light ice cream sandwich, vanilla",-0.04468333365810714,-1.0441860318423193,0
"Light ice cream sandwich, chocolate",0.05565118357853532,-1.1486941948861522,0
"Light ice cream bar, vanilla",1.6882392636838397,-5.779656624175188,2
"Light ice cream bar, vanilla, chocolate coated",1.7806495866610776,-5.661082630991212,2
"Light ice cream bar, chocolate",1.8861087182243488,-5.753426805238489,2
Creamsicle,-1.7861983708986287,-0.7075108974810066,1
